Why can Java or Go compact heaps more easily than C?;They track pointers, while C does not have runtime metadata for all pointers.
What is temporal locality?;Recently accessed data is likely to be used again soon.
What is spatial locality?;Data near recently accessed data is likely to be used soon.
What is a cache line?;The unit of transfer between RAM and cache, typically 64 bytes on x86.
What are the three Cs of cache misses?;Compulsory, capacity, and conflict misses.
What is write-through caching?;Every write updates both the cache and memory.
What is write-back caching?;Writes update the cache and memory is updated only when the line is evicted.
What extra metadata does a write-back cache need?;A dirty bit.
What is PIPT cache indexing and tagging?;Physical index and physical tag.
What is VIPT cache indexing and tagging?;Virtual index and physical tag.
What is VIVT cache indexing and tagging?;Virtual index and virtual tag.
Which cache design is common for L1 data caches?;VIPT.
Which cache design is common for L2 and L3 caches?;PIPT.
Which cache design suffers from both homonyms and synonyms?;VIVT.
Is PIVT a common real-world cache design?;No.
Do PIPT caches need invalidation on every context switch?;No.
Can VIPT caches begin indexing in parallel with TLB lookup?;Yes.
Do write-back caches require a dirty bit per line?;Yes.
What does Meltdown exploit to leak kernel data?;Out-of-order execution plus a cache side channel.
What is the main mitigation for Meltdown mentioned in the slides?;Kernel Page-Table Isolation, KPTI.
What does Spectre exploit?;Branch prediction and speculative execution.
What is a named file-backed page mapping?;A page whose content comes from a file, such as text segments, data segments, shared libraries, or mmap files.
What is an anonymous page mapping?;A page with no file backing, such as heap, stack, or MAP_ANONYMOUS memory.
How is a clean file-backed page evicted?;It can simply be dropped and later reread from the file.
How is an anonymous page evicted?;It must be written to swap before eviction.
What are shadow page tables in virtualization?;Hypervisor-maintained tables that directly map guest virtual addresses to host physical addresses.
What is a key cost of shadow page tables?;The hypervisor must trap guest page-table updates to keep shadows in sync.
What are EPT and NPT?;Hardware nested page tables that let the CPU perform guest and host translations.
What is a key cost of nested paging with EPT or NPT?;A TLB miss can require many memory accesses to walk both translation trees.
If the page offset has 12 bits, what is the page size?;4 KiB.
If the page offset has 16 bits, what is the page size?;64 KiB.
If the page offset has 21 bits, what is the page size?;2 MiB.
With 20 VPN bits in a single-level page table, how many entries are there?;1,048,576.
With 20 VPN bits and 4 bytes per entry, how large is the page table?;4 MiB.
With a 4 MiB page table and 4 KiB pages, how many pages are needed to store it?;1024 pages.
In the 2022 four-level paging question with 512 entries per page, how many index bits are used in total?;36 bits.
In the same 2022 four-level paging question, how many page offset bits are used?;12 bits.
In the same 2022 four-level paging question, what is the virtual address size?;48 bits.
In the 2024 retake 10 10 12 two-level page table question, what is the page size?;4096 bytes or 4 KiB.
In that same two-level page table question, how much present virtual memory is mapped?;4 MiB.
In the same question, is virtual address 0x00001050 valid?;Yes.
In the same question, what physical address does virtual address 0x00001050 translate to?;0x00441050.
If a process accesses a not-present address that is not valid for the process, what happens?;The OS delivers SIGSEGV, usually terminating the process.
If a process accesses a not-present but valid text page that was evicted, what does the OS do?;Finds a frame, reads the page from disk, updates the PTE, and retries the faulting instruction.
Why is a single-level page table impractical for the 48-bit VA example with 8-byte entries?;It would need 2 to the 36 entries, about 512 GiB per process.
How does Linux manage page table memory more efficiently than a single-level page table?;By using multi-level hierarchical page tables and allocating page-table pages only for mapped regions.
For OB equals 21, what is the page size in the 2024 linear page table formula slide?;2 MiB.
For NB equals 27, how many page table entries are there?;2 to the 27 entries, about 134 million.
Are large pages an advantage or disadvantage for internal fragmentation?;A disadvantage.
Are large pages an advantage or disadvantage for page table size?;An advantage.
What impact do larger pages have on the TLB?;They increase TLB coverage and reduce misses for the same memory footprint.
With 5 paging levels and 9 index bits per level plus a 12-bit offset, how wide is the virtual address?;57 bits.
Why is the physical address width 52 bits in the 5-level example?;A 64-bit PTE uses 12 low bits for flags, leaving 52 bits for the physical frame number.
In a 64-bit CPU with 64 GB RAM, which page table variant is the best practical choice according to the quiz slide?;Hierarchical multi-level page tables.
In the 4-level paging minimum page-table pages example for a 4 MiB process, how many page-table pages are needed?;5 pages.
In the hashed inverted page table size example with 1 GiB RAM and 4 KiB pages, how large is the table?;1024 pages or 4 MiB.
How large is an inverted page table relative to processes and virtual memory usage?;Its size depends on the number of physical frames, not the number of processes or the amount of virtual memory.
In the 2024 segmentation VA to PA question, what does 0x30008 translate to?;0x08008.
In the 2024 segmentation VA to PA question, what happens to 0x12345?;SEGFAULT.
In the 2024 segmentation VA to PA question, what does 0x22222 translate to?;0x02222.
In the 2024 segmentation PA to VA question, what virtual address maps to physical address 0x21234?;0x01234.
In the 2024 segmentation PA to VA question, what is the result for physical address 0x12345?;NONE.
In the 2024 segmentation PA to VA question, what virtual address maps to physical address 0x20002?;0x10002.
In the 2022 LRU example with 4 frames and references 4, 2, 1, 3, 5 after t0, how many faults occur from t1 to t5?;4 page faults.
In the RANDOM replacement slide, is the exact table deterministic?;No, the outcome depends on random evictions.
In the CLOCK worked example with reference string 1, 2, 3, 1, 4, 2, 5 and 3 frames, how many page faults occur?;5.
What does CLOCK do when it sees a frame with reference bit 1 during eviction scan?;It clears the bit to 0 and gives the page a second chance.
What does CLOCK do when it sees a frame with reference bit 0 during eviction scan?;It evicts that page.
Is FIFO susceptible to Belady's anomaly?;Yes.
Is CLOCK also called second chance?;Yes.
Does MRU evict the most recently used page?;Yes.
Should a good replacement algorithm maximize page faults?;No, it should minimize them.
Does FIFO guarantee the fewest page faults?;No.
Is RANDOM avoided in practice because it is computationally expensive?;No.
Does LRU consider the least recently used page for eviction?;Yes.
Is external fragmentation a problem for variable-size allocators but not fixed-size page allocators?;Yes.
Can internal fragmentation be a disadvantage of huge pages?;Yes.
What is a race condition?;Concurrent access to shared data where the final result depends on interleaving and at least one access is a write.
What is a critical section?;A code region that must be executed by at most one thread at a time.
What three properties must a correct critical section implementation provide?;Mutual exclusion, progress, and bounded waiting.
Why can counter increment cause a race condition?;Because it compiles into multiple instructions such as load, increment, and store.
What are the four Coffman conditions for deadlock?;Mutual exclusion, hold and wait, no preemption, and circular wait.
How can deadlock be prevented?;Break at least one Coffman condition by design.
What is deadlock avoidance?;Grant resources only if the resulting state stays safe, for example with Banker's algorithm.
What is deadlock detection and recovery?;Allow deadlocks, detect them later, then recover by killing a process or forcing preemption.
What is the ostrich algorithm for deadlocks?;Ignore deadlocks and rely on rebooting or similar recovery.
What is priority inversion?;A high-priority thread waits on a lock held by a low-priority thread while a medium-priority thread preempts the low-priority one.
How is priority inversion fixed?;Priority inheritance.
What is livelock?;Threads keep running but make no useful progress.
How is livelock different from deadlock?;In livelock, threads are not blocked, they are active but ineffective.
What is a mutex?;A binary lock with ownership, used to protect a critical section.
What is a binary semaphore?;A 0 or 1 synchronization primitive without ownership semantics.
What is a counting semaphore?;A semaphore with a nonnegative integer value used to model a limited number of resources.
What is a condition variable?;A primitive used with a mutex so threads can sleep until a condition becomes true.
What is a monitor?;A language-level construct combining mutual exclusion with built-in condition variables.
What is the rule of thumb for mutex versus CV versus counting semaphore?;Use a mutex for mutual exclusion, a CV to wait for state changes, and a counting semaphore to limit resource count.
What hardware operations are spin locks built on?;Atomic read-modify-write instructions such as test-and-set or compare-and-swap.
Do spin locks require kernel mode or privileged instructions?;No, user-space atomic instructions are enough.
In the pipe API, what is fd 0 and fd 1 after pipe fd?;fd 0 is the read end and fd 1 is the write end.
Why must every unused pipe end be closed?;Otherwise the reader may never observe EOF.
What does dup2 old new do?;It replaces file descriptor new with a duplicate of old.
In the correct getTicket implementation, what ticket values can three concurrent threads get?;1, 2, and 3 in some order.
Why is the correct getTicket implementation synchronized correctly?;The lock protects the increment and the local variable captures the value before unlock.
What are the two bugs in the 2022 buggy getTicket code?;The unlock uses the wrong mutex name and the function returns lastTicket outside the critical section.
Give one possible bad outcome from the buggy getTicket code.;An outcome such as 3, 3, 3 can occur.
What are the three bugs in the 2024 my_malloc code?;The return type should be void pointer, returning while holding the lock causes deadlock, and allocate_block runs after unlock causing a race.
What are the two bugs in the 2024 retake my_malloc code?;find_free_block runs before taking the lock and returning NULL while holding the lock leaks the lock.
For a very short critical section like getTicket, which primitive minimizes overhead best?;A spin lock.
Are spin locks efficient with low contention and short critical sections?;Yes.
What is a spin lock?;A lock where the waiting thread busy-waits in a loop checking for availability.
Are spin locks mainly useful on single-core CPUs?;No, they are mainly useful on multi-core CPUs.
Do blocking locks require a system call to put a thread to sleep?;Yes.
Do anonymous pipes need application-level locks around read and write?;No, the kernel pipe buffer already handles synchronization.
Why is a mutex alone not enough to implement a bounded buffer efficiently?;Consumers or producers would have to busy-wait because a mutex cannot put them to sleep until the condition changes.
What extra primitive solves the bounded buffer problem efficiently?;Condition variables or semaphores.
In the semaphore bounded buffer, what should empty start at for a buffer of size 3?;3.
In the semaphore bounded buffer, what should full start at?;0.
In the semaphore bounded buffer, what should mutex start at?;1.
Are anonymous pipes based on shared memory?;No, they use kernel buffers.
Do POSIX message queues provide bidirectional communication on the same system?;Yes.
Do named pipes work across different hosts over a network?;No, sockets are needed for network communication.
Can accessing shared memory without synchronization cause races?;Yes.
After setup, does shared memory IPC allow direct memory access without system calls on each access?;Yes.
Must message-passing APIs use an explicit mutex on every send and receive?;No, synchronization is handled by the IPC mechanism.
Are anonymous pipes message-passing IPC?;Yes.
Are anonymous pipes bidirectional by default?;No, they are unidirectional.
Are POSIX message queues for different hosts over a network?;No, they are local IPC.
Does fork automatically close inherited anonymous pipe file descriptors in the child?;No.
Does shared-memory IPC with a linked list require synchronization?;Yes, otherwise the shared data structure can be corrupted.
What minimum additions create a deadlock in the 2022 RAG question?;Add P2 waiting for R3 and assign R3 to P1, creating the cycle P1 to R2 to P2 to R3 to P1.
Is the 2024 RAG example deadlocked?;No.
For a resource allocation graph with single-instance resources, when does deadlock exist?;If and only if the graph contains a cycle.
In the readers writers test exam, under reader preference, which arrives before writer w1 gets a turn?;Readers r3 and r4.
In the readers writers test exam, under writer preference, what order occurs after r1 and r2 finish?;w1, w2, w3, then r3 and r4.
What is polling in I O?;The CPU repeatedly checks a device status register.
What is interrupt-driven I O?;The CPU starts the request and the device interrupts when it finishes.
What is DMA?;A controller transfers data directly between device and RAM and interrupts only when the transfer completes.
Does DMA eliminate interrupts entirely?;No, it usually still causes one interrupt at the end of the transfer.
When is polling sensible?;For very fast devices or when latency matters more than CPU efficiency.
Why is DMA essential for high-bandwidth devices?;Because it avoids per-word CPU involvement.
Can disabling interrupts on one core help avoid deadlock with a spin lock and an interrupt handler on that same core?;Yes.
Does disabling interrupts on one core solve the problem across all cores?;No.
On an interrupt, does the CPU save the current context before running the handler?;Yes.
What do rwx bits mean on a regular file?;r means read contents, w means modify contents, and x means execute the file.
What do rwx bits mean on a directory?;r lists names, w creates renames or deletes entries, and x allows traversal.
What does the sticky bit on a directory do?;Only the file owner or root can delete entries there even if the directory is writable.
To delete a file, what permissions matter most?;Write and execute on the parent directory, not write permission on the file itself.
In the permissions example, can anna list /shared?;Yes.
In the permissions example, can anna cd into /shared?;Yes.
In the permissions example, can anna read secret.txt?;Yes.
In the permissions example, can anna write to secret.txt?;No.
In the permissions example, can anna delete secret.txt in the sticky directory?;No.
In the permissions example, can anna execute run.sh?;Yes.
In the permissions example, can anna create a new file in /shared?;Yes.
Which file allocation method has severe external fragmentation?;Contiguous allocation.
Which file allocation method has O n random access because you must walk the chain?;Linked or FAT allocation.
Which file allocation method supports sparse files efficiently?;Indexed allocation with inodes.
What metadata does a per-process file descriptor table entry point to?;A system-wide open-file-table entry.
What does the system-wide open file table store?;Current offset, access mode, and a pointer to the inode.
What does the in-memory inode table store?;File metadata such as size, permissions, block pointers, and reference count.
What does dup fd imply about file offsets?;The duplicated descriptors share the same open-file-table entry and therefore the same file offset.
What happens to file offsets across fork?;Parent and child share open-file entries and therefore share offsets.
What is the HDD block read time formula?;Seek time plus rotational latency plus transfer time.
At 7200 RPM, what is the average rotational latency?;About 4.17 milliseconds.
Why is sequential HDD I O much faster than random I O?;Seek and rotational costs are amortized over many blocks.
Why are SSD random reads much closer to sequential reads than HDD reads?;Because SSDs have no seek or rotational latency.
Why is journaling used in file systems?;To maintain crash consistency when an update touches multiple blocks.
What does the journal mode in ext3 or ext4 log?;Both data and metadata.
What does the ordered mode in ext3 or ext4 log?;Metadata only, while forcing data blocks to be written before the metadata commit.
What does writeback mode in ext3 or ext4 log?;Metadata only with no strict ordering for data writes.
What is a directory in Unix-like file systems?;A file containing name to inode-number mappings.
Where does a file name live, in the inode or the directory entry?;In the directory entry.
What does renaming a file usually change?;Only a directory entry, not the file's data blocks.
Can hard links cross mount points or filesystem boundaries?;No.
Can symbolic links cross filesystem boundaries?;Yes.
What happens when you try to hard-link /etc/passwd into /home on a different filesystem?;It fails.
What happens when you create a symlink to /etc/passwd across filesystems?;It succeeds.
In the 2024 file commands trace, what is the final content of file a?;Hello World.
In the 2024 file commands trace, what is the final content of file c after mv b c and later append via d?;Good Luck!.
In the 2024 file commands trace, what is the final state of e?;It is a broken symlink.
In the 2024 file commands trace, what is the final content of f?;Hello.
If a symlink target is deleted, what happens to the symlink?;The symlink remains but becomes broken or dangling.
If you create a hard link within the same filesystem and then delete the original file, what happens to the hard link?;The data remains accessible through the hard link until the link count reaches zero.
In the inode reading example, what is read from test.txt at offset 1500?;Zero.
Why does reading offset 1500 from test.txt return zero in the inode example?;Because the relevant block is unallocated, representing a hole in a sparse file.
For a very large offset, which file allocation method accesses the target block with simple arithmetic?;Contiguous allocation.
For a very large offset, which file allocation method may require following hundreds of thousands of links?;Chained or FAT allocation.
For a very large offset, which file allocation method usually needs only a few inode or indirect-block reads?;Indexed allocation.
With 1 KiB blocks and 4-byte pointers, how many pointers fit in one indirect block?;256.
With 1 KiB blocks, 10 direct pointers, and one single indirect, what is the maximum direct-only size?;10 KiB.
With 1 KiB blocks, 10 direct pointers, and one single indirect, what is the maximum size using direct plus single indirect?;266 KiB.
With 1 KiB blocks, 10 direct pointers, one single indirect, and one double indirect, what is the maximum total size?;65802 KiB.
With 2 KiB blocks and 4-byte pointers, how many pointers fit in one indirect block?;512.
With 2 KiB blocks and 10 direct pointers, what is the maximum direct-only size?;20 KiB.
With 2 KiB blocks and one single indirect, what is the maximum size using direct plus single indirect?;1044 KiB.
With 2 KiB blocks and one double indirect, what is the maximum total size?;525332 KiB.
What is a sparse file?;A file with holes that read as zeros even though no disk blocks are allocated there.
Which allocation strategy best supports sparse files?;Indexed allocation with inodes.
Does a Unix inode store the file name?;No.
Does a Unix inode store the file size?;Yes.
Does a Unix inode store the number of hard links?;Yes.
Does a Unix inode store the number of symbolic links to the file?;No.
Does a Unix inode store access permissions?;Yes.
Does a Unix inode store the actual file content bytes directly?;No, it stores pointers to data blocks.
Is the size of a FAT proportional to the number of blocks in the file system?;Yes.
Does FAT allocate each file as one contiguous range of blocks?;No.
Is random access generally easier and faster in inode-based indexed allocation than in FAT?;Yes.
Do inode-based file systems use indirect or multi-level pointers to support both small and large files?;Yes.
Do journaling file systems simplify recovery after a crash?;Yes.
Where are access timestamps stored in an indexed-allocation file system?;In the inode.
Where are file permissions stored in an indexed-allocation file system?;In the inode.
Where are block numbers of file data stored?;In the inode for direct pointers and in indirect blocks for deeper levels.
Where is the file name stored?;In the directory entry.
Where is the name of the parent directory stored?;Not directly in the inode, it is found through directory structure and dot dot entries.
With RAID 0 on 8 disks of 4 TiB, how much usable storage is available?;32 TiB.
With RAID 1 on 8 disks of 4 TiB arranged as 4 mirrored pairs, how much usable storage is available?;16 TiB.
With RAID 5 on 8 disks of 4 TiB, how much usable storage is available?;28 TiB.
For RAID 0, what is the minimum number of disk failures causing data loss?;1.
For RAID 1 with 4 mirrored pairs, what is the minimum number of failures causing data loss?;2, if both are in the same pair.
For RAID 5, what is the minimum number of failures causing data loss?;2.
How much fault tolerance does RAID 0 provide?;None.
How much fault tolerance does RAID 1 provide?;One disk failure per mirrored pair.
How much fault tolerance does RAID 5 provide?;It can tolerate one disk failure total.
What fraction of raw capacity is usable in RAID 0?;100 percent.
What fraction of raw capacity is usable in RAID 1?;50 percent.
What fraction of raw capacity is usable in RAID 5 with N disks?;N minus 1 divided by N.
What is the one-block write cost of RAID 0?;One write.
What is the one-block write cost of RAID 1?;Two parallel writes.
What is the one-block write cost of RAID 5?;Read modify write, usually 2 reads plus 2 writes.
What is the main difference between a hard link and a symbolic link?;A hard link is another directory entry to the same inode, while a symbolic link is a separate file containing a path to a target.
What happens to a hard-linked file's data when one hard link is deleted?;The link count decreases, but the data remains until the count reaches zero.
What happens to a symbolic link if its target is deleted or renamed?;It becomes broken or dangling.
Can symbolic links point to directories and nonexistent targets?;Yes.
